database,pages_ id,Region,Site_name,Lat_N,Long_E,Archive,Proxy_ measurement,Oldest_year,Youngest_year,Time_Units,Original_Author,Original_data_URL,database_link
Global_2017,10313,NaN,JAPA018,30.37,130.53,tree,TRW,1080,2005,(CE),"Yasue et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-YKCOM.Yasue.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10314,NaN,JAPA012,44.95,142.12,tree,TRW,1500,1991,(CE),"Yasue et al., (1997)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-JAPA012.Yasue.1997.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10315,NaN,JAPA014,43.5,143.2,tree,TRW,1487,1997,(CE),"Yasue et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-JAPA014.Yasue.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10316,NaN,JAPA016,35.73,138.22,tree,TRW,1540,2001,(CE),"Yasue et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-JAPA016.Yasue.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10317,NaN,JAPA015,43.22,145.47,tree,TRW,1511,1998,(CE),"Yasue et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-JAPA015.Yasue.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10318,NaN,JAPA013,44.35,142.18,tree,TRW,1575,1999,(CE),"Yasue et al., (1997)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-JAPA013.Yasue.1997.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10319,NaN,JAPA020,30.33,130.5,tree,TRW,1,1999,(CE),"Kimura et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-JAPA020.Kimura.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10320,NaN,RUSS219,43.88,145.6,tree,TRW,1585,2000,(CE),"Jacoby et al., (2010)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-RUSS219.Jacoby.2010.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10321,NaN,JAPA008,43.77,142.55,tree,TRW,1557,1997,(CE),"Davi et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-MTASMD.Davi.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10322,NaN,JAPA008,43.77,142.55,tree,TRW,1532,1997,(CE),"Davi et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-MTASSP.Davi.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10323,NaN,INDI024,31.37,78.17,tree,TRW,1538,2004,(CE),"Borgaonkar et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-INDI024.Borgaonkar.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10324,NaN,KERALA,10,76.67,tree,TRW,1481,2003,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-KERALA.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10325,NaN,INDI025,10.18,76.87,tree,TRW,1481,2003,(CE),"Borgaonkar et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-INDI025.Borgaonkar.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10326,NaN,INDI015,31.2,77.23,tree,TRW,1590,1990,(CE),"Borgaonkar et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-INDI015.Borgaonkar.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10327,NaN,RANGCD,33.08,76.43,tree,TRW,1388,2002,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-RANGCD.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10328,NaN,GANGCD,30.98,78.93,tree,TRW,1567,1999,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-GANGCD.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10329,NaN,INDO005,-5.5,122.8,tree,TRW,1565,2005,(CE),"DArrigo et al., (2010)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-INDO005.DArrigo.2010.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10330,NaN,CHIN066,33.72,96.28,tree,TRW,1374,2002,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN066.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10331,NaN,CHIN065,32.67,95.72,tree,TRW,1290,2006,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN065.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10332,NaN,CHIN064,36.68,98.42,tree,TRW,900,2001,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN064.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10333,NaN,CHIN063,36.75,98.22,tree,TRW,681,2001,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN063.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10334,NaN,CHIN062,37.03,98.67,tree,TRW,845,2001,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN062.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10335,NaN,CHIN061,37.03,98.63,tree,TRW,857,2003,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN061.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10336,NaN,CHIN060,37.32,98.4,tree,TRW,943,2003,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN060.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10337,NaN,CHIN059,33.8,96.13,tree,TRW,1480,2002,(CE),"Shao et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN059.Shao.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
